Team Owner,Year,Round,Team From,Swap Owner,Swap Option,Protections,Pick Number,Pick Pool,Rank
Memphis Grizzlies,2032,First Round,,,,,,,
Memphis Grizzlies,2032,Second Round,,,Philadelphia Sixers,,,,
Memphis Grizzlies,2032,Second Round,Golden State Warriors,,,51-60,,,
Memphis Grizzlies,2032,Second Round,Golden State Warriors,,,31-50 to Golden State Warriors,,,
Memphis Grizzlies,2027,First Round,Los Angeles Lakers,,,1-4 to Los Angeles Lakers,,,
Memphis Grizzlies,2030,Second Round,,,,51-60 to Minnesota Timberwolves,,,
Memphis Grizzlies,2027,Second Round,Los Angeles Lakers,,,if LAL does not convey 1st round pick to MEM in 2027,,,
Memphis Grizzlies,2029,Second Round,Orlando Magic,,,if ORL 1-2 in 2029,,,
Memphis Grizzlies,2030,First Round,,,,,,"MEM, PHX, WAS",More favorable of MEM vs (less favorable of PHX/WAS)
Memphis Grizzlies,2031,Second Round,,,,,,"MEM, IND, MIA",More favorable of MEM vs (less favorable of IND/MIA)
Miami Heat,2026,First Round,,,,,13.0,,
Miami Heat,2026,Second Round,Golden State Warriors,,,,41.0,,
Miami Heat,2029,First Round,,,,,,,
Miami Heat,2030,First Round,,,,,,,
Miami Heat,2031,First Round,,,,,,,
Miami Heat,2032,First Round,,,,,,,
Miami Heat,2027,First Round,,,,15-30 to Charlotte Hornets,,,
Miami Heat,2027,Second Round,,"Oklahoma City Thunder, Houston Rockets, Indiana Pacers, San Antonio Spurs",,,,,
Milwaukee Bucks,2026,First Round,,,,,10.0,,
Milwaukee Bucks,2030,First Round,,Portland Trail Blazers,,,,,
Milwaukee Bucks,2031,First Round,,,,,,,
Milwaukee Bucks,2032,First Round,,,,,,,
Milwaukee Bucks,2028,First Round,,,,,,"MIL, POR, WAS, BRK, PHL 9-30, PHX",Less favorable of (less favorable of MIL/POR) vs (more favorable of WAS and least/less favorable of BRK/PHL 9-30/PHX)
Minnesota Timberwolves,2026,First Round,Detroit Pistons,,,,28.0,,
Minnesota Timberwolves,2026,Second Round,San Antonio Spurs,,,,59.0,,
Minnesota Timberwolves,2028,First Round,,,,,,,
Minnesota Timberwolves,2030,Second Round,Memphis Grizzlies,,,51-60,,,
Minnesota Timberwolves,2032,Second Round,,,,,,,
Minnesota Timberwolves,2032,First Round,,,,Frozen through 2027-28,,,
Minnesota Timberwolves,2029,First Round,,,,,,"MIN 6-30, CLE, UTH","Most / two most favorable, to UTH"
Minnesota Timberwolves,2030,First Round,,,,,,"MIN 2-30, SAN, DAL",Less favorable of MIN 2-30 vs (more favorable of SAN/DAL)
New Orleans Pelicans,2026,Second Round,Detroit Pistons,,,,58.0,,
New Orleans Pelicans,2028,First Round,,,,,,,
New Orleans Pelicans,2029,First Round,,,,,,,
New Orleans Pelicans,2030,First Round,,,,,,,
New Orleans Pelicans,2030,Second Round,,Orlando Magic,,,,,
New Orleans Pelicans,2031,First Round,,,,,,,
New Orleans Pelicans,2031,Second Round,Toronto Raptors,,,,,,
New Orleans Pelicans,2032,First Round,,,,,,,
New Orleans Pelicans,2032,Second Round,,,,,,,
New Orleans Pelicans,2027,First Round,,,,,,"NOP, MIL",More favorable
New Orleans Pelicans,2027,Second Round,,,,,,"OKC, HOU, IND, MIA",2nd most favorable
New York Knicks,2026,First Round,,,,,24.0,,
New York Knicks,2026,Second Round,Washington Wizards,,,,31.0,,
